Label	Distribution	CapacityMean	CapacityStd	OpeningCostMean	OpeningCostStd	OMCostMean	OMCostStd	WellCapacityMean	WellCapacityStd	WellOpeningCostMean	WellOpeningCostStd	WellOMCostMean	WellOMCostStd	InjectionCostMean	InjectionCostStd
1	Normal	88.49	0	0	0	0	0	88.493	0	0	0	0	0	-6.72	1.68
2	Normal	22.4	0	0	0	0	0	22.399	0	0	0	0	0	4.25	1.0625
3	Normal	11.13	0	0	0	0	0	11.135	0	0	0	0	0	14.89	3.7225
4	Normal	9.88	0	0	0	0	0	9.883	0	0	0	0	0	-8.6	2.15
5	Normal	7.59	0	0	0	0	0	7.585	0	0	0	0	0	0.86	0.215
6	Normal	5.63	0	0	0	0	0	5.634	0	0	0	0	0	5.69	1.4225
7	Normal	6.42	0	0	0	0	0	6.419	0	0	0	0	0	-5.02	1.255
8	Normal	4.46	0	0	0	0	0	4.46	0	0	0	0	0	0.71	0.1775
9	Normal	3.37	0	0	0	0	0	3.368	0	0	0	0	0	-1.32	0.33
10	Normal	3.85	0	0	0	0	0	3.846	0	0	0	0	0	-15.9	3.975
11	Normal	3	0	0	0	0	0	3.003	0	0	0	0	0	0.69	0.1725
12	Normal	2.58	0	0	0	0	0	2.577	0	0	0	0	0	9.36	2.34
13	Normal	2.83	0	0	0	0	0	2.833	0	0	0	0	0	2.9	0.725
14	Normal	1.95	0	0	0	0	0	1.954	0	0	0	0	0	-5.04	1.26
15	Normal	2.18	0	0	0	0	0	2.178	0	0	0	0	0	-3.9	0.975
16	Normal	1.6	0	0	0	0	0	1.602	0	0	0	0	0	-14.73	3.6825
17	Normal	1.33	0	0	0	0	0	1.327	0	0	0	0	0	-15.73	3.9325
18	Normal	1.46	0	0	0	0	0	1.461	0	0	0	0	0	-29.68	7.42
19	Normal	1.16	0	0	0	0	0	1.157	0	0	0	0	0	-12.82	3.205
20	Normal	1.44	0	0	0	0	0	1.439	0	0	0	0	0	-13.16	3.29
21	Normal	1.27	0	0	0	0	0	1.272	0	0	0	0	0	0.15	0.0375
22	Normal	0.95	0	0	0	0	0	0.945	0	0	0	0	0	8.68	2.17
23	Normal	0.94	0	0	0	0	0	0.943	0	0	0	0	0	14.79	3.6975
24	Normal	1.15	0	0	0	0	0	1.15	0	0	0	0	0	-11.3	2.825
25	Normal	0.98	0	0	0	0	0	0.976	0	0	0	0	0	-9.49	2.3725
26	Normal	0.95	0	0	0	0	0	0.951	0	0	0	0	0	-13.28	3.32
27	Normal	0.59	0	0	0	0	0	0.594	0	0	0	0	0	19.89	4.9725
28	Normal	0.76	0	0	0	0	0	0.759	0	0	0	0	0	-18.19	4.5475
29	Normal	0.58	0	0	0	0	0	0.584	0	0	0	0	0	8.63	2.1575
30	Normal	0.49	0	0	0	0	0	0.495	0	0	0	0	0	6.47	1.6175
31	Normal	0.32	0	0	0	0	0	0.318	0	0	0	0	0	-5.94	1.485
32	Normal	0.38	0	0	0	0	0	0.379	0	0	0	0	0	-4.1	1.025
33	Normal	0.31	0	0	0	0	0	0.305	0	0	0	0	0	-37.69	9.4225
34	Normal	0.28	0	0	0	0	0	0.283	0	0	0	0	0	6.64	1.66
35	Normal	0.27	0	0	0	0	0	0.267	0	0	0	0	0	15.65	3.9125
36	Normal	0.27	0	0	0	0	0	0.272	0	0	0	0	0	-12.91	3.2275
37	Normal	0.22	0	0	0	0	0	0.215	0	0	0	0	0	0.77	0.1925
38	Normal	0.18	0	0	0	0	0	0.177	0	0	0	0	0	12.56	3.14
39	Normal	0.17	0	0	0	0	0	0.169	0	0	0	0	0	6.73	1.6825
40	Normal	0.15	0	0	0	0	0	0.154	0	0	0	0	0	2.73	0.6825
41	Normal	0.11	0	0	0	0	0	0.108	0	0	0	0	0	9.4	2.35
42	Normal	0.09	0	0	0	0	0	0.095	0	0	0	0	0	11.33	2.8325
