Label	Distribution	CapacityMean	CapacityStd	OpeningCostMean	OpeningCostStd	OMCostMean	OMCostStd	WellCapacityMean	WellCapacityStd	WellOpeningCostMean	WellOpeningCostStd	WellOMCostMean	WellOMCostStd	InjectionCostMean	InjectionCostStd
1	Normal	88.49	0	0	0	0	0	88.493	0	0	0	0	0	-6.72	4.032
2	Normal	22.4	0	0	0	0	0	22.399	0	0	0	0	0	4.25	2.55
3	Normal	11.13	0	0	0	0	0	11.135	0	0	0	0	0	14.89	8.934
4	Normal	9.88	0	0	0	0	0	9.883	0	0	0	0	0	-8.6	5.16
5	Normal	7.59	0	0	0	0	0	7.585	0	0	0	0	0	0.86	0.516
6	Normal	5.63	0	0	0	0	0	5.634	0	0	0	0	0	5.69	3.414
7	Normal	6.42	0	0	0	0	0	6.419	0	0	0	0	0	-5.02	3.012
8	Normal	4.46	0	0	0	0	0	4.46	0	0	0	0	0	0.71	0.426
9	Normal	3.37	0	0	0	0	0	3.368	0	0	0	0	0	-1.32	0.792
10	Normal	3.85	0	0	0	0	0	3.846	0	0	0	0	0	-15.9	9.54
11	Normal	3	0	0	0	0	0	3.003	0	0	0	0	0	0.69	0.414
12	Normal	2.58	0	0	0	0	0	2.577	0	0	0	0	0	9.36	5.616
13	Normal	2.83	0	0	0	0	0	2.833	0	0	0	0	0	2.9	1.74
14	Normal	1.95	0	0	0	0	0	1.954	0	0	0	0	0	-5.04	3.024
15	Normal	2.18	0	0	0	0	0	2.178	0	0	0	0	0	-3.9	2.34
16	Normal	1.6	0	0	0	0	0	1.602	0	0	0	0	0	-14.73	8.838
17	Normal	1.33	0	0	0	0	0	1.327	0	0	0	0	0	-15.73	9.438
18	Normal	1.46	0	0	0	0	0	1.461	0	0	0	0	0	-29.68	17.808
19	Normal	1.16	0	0	0	0	0	1.157	0	0	0	0	0	-12.82	7.692
20	Normal	1.44	0	0	0	0	0	1.439	0	0	0	0	0	-13.16	7.896
21	Normal	1.27	0	0	0	0	0	1.272	0	0	0	0	0	0.15	0.09
22	Normal	0.95	0	0	0	0	0	0.945	0	0	0	0	0	8.68	5.208
23	Normal	0.94	0	0	0	0	0	0.943	0	0	0	0	0	14.79	8.874
24	Normal	1.15	0	0	0	0	0	1.15	0	0	0	0	0	-11.3	6.78
25	Normal	0.98	0	0	0	0	0	0.976	0	0	0	0	0	-9.49	5.694
26	Normal	0.95	0	0	0	0	0	0.951	0	0	0	0	0	-13.28	7.968
27	Normal	0.59	0	0	0	0	0	0.594	0	0	0	0	0	19.89	11.934
28	Normal	0.76	0	0	0	0	0	0.759	0	0	0	0	0	-18.19	10.914
29	Normal	0.58	0	0	0	0	0	0.584	0	0	0	0	0	8.63	5.178
30	Normal	0.49	0	0	0	0	0	0.495	0	0	0	0	0	6.47	3.882
31	Normal	0.32	0	0	0	0	0	0.318	0	0	0	0	0	-5.94	3.564
32	Normal	0.38	0	0	0	0	0	0.379	0	0	0	0	0	-4.1	2.46
33	Normal	0.31	0	0	0	0	0	0.305	0	0	0	0	0	-37.69	22.614
34	Normal	0.28	0	0	0	0	0	0.283	0	0	0	0	0	6.64	3.984
35	Normal	0.27	0	0	0	0	0	0.267	0	0	0	0	0	15.65	9.39
36	Normal	0.27	0	0	0	0	0	0.272	0	0	0	0	0	-12.91	7.746
37	Normal	0.22	0	0	0	0	0	0.215	0	0	0	0	0	0.77	0.462
38	Normal	0.18	0	0	0	0	0	0.177	0	0	0	0	0	12.56	7.536
39	Normal	0.17	0	0	0	0	0	0.169	0	0	0	0	0	6.73	4.038
40	Normal	0.15	0	0	0	0	0	0.154	0	0	0	0	0	2.73	1.638
41	Normal	0.11	0	0	0	0	0	0.108	0	0	0	0	0	9.4	5.64
42	Normal	0.09	0	0	0	0	0	0.095	0	0	0	0	0	11.33	6.798
