Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFCÐ22 Production from HFCÐ23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems Ð Offshore Production,Petroleum and Natural Gas Systems Ð Processing,Petroleum and Natural Gas Systems Ð Transmission/Compression,Petroleum and Natural Gas Systems Ð Underground Storage,Petroleum and Natural Gas Systems Ð LNG Storage,Petroleum and Natural Gas Systems Ð LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,
1001051,110007356066,Scherer,JULIETTE,GA,31046,10986 HIGHWAY 87,Monroe,33.0583,-83.8072,221112,D,Power Plants,"22,985,002.66","22,800,874.90","67,350.50","116,777.26",,,,,,,,,,,"22,985,002.66",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1001051,110007356066,Scherer,JULIETTE,GA,31046,10986 HIGHWAY 87,Monroe,33.06,-83.81,221112,"C,D",Power Plants,"22,293,328.12","22,118,625.20","63,901.75","110,801.17",,,,,,,,,,0.50,"22,293,327.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007227,110043792651,James H Miller Jr,Quinton,AL,35130,4250 Porter Road,Jefferson,33.63,-87.06,221112,D,Power Plants,"21,870,696.30","21,699,239.70","62,717.00","108,739.60",,,,,,,,,,,"21,870,696.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001051,110007356066,Scherer,JULIETTE,GA,31046,10986 HIGHWAY 87,Monroe,33.06,-83.81,221112,D,Power Plants,"21,815,561.53","21,644,582.70","62,540.50","108,438.33",,,,,,,,,,,"21,815,561.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001505,110000356356,Bowen,CARTERSVILLE,GA,30120,317 COVERED BRIDGE ROAD SW,Bartow,34.1256,-84.9192,221112,"C,D",Power Plants,"21,031,954.07","20,863,476.00","61,626.00","106,852.07",,,,,,,,,,61.70,"21,031,892.37",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1007227,110043792651,James H Miller Jr,Quinton,AL,35130,4250 Porter Road,Jefferson,33.6319,-87.0597,221112,D,Power Plants,"20,757,857.84","20,595,125.40","59,525.50","103,206.94",,,,,,,,,,,"20,757,857.84",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1001051,110007356066,Scherer,JULIETTE,GA,31046,10986 HIGHWAY 87,Monroe,33.06,-83.81,221112,"C,D",Power Plants,"20,482,459.50","20,321,943.10","58,712.75","101,803.65",,,,,,,,,,0.40,"20,482,459.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007227,110043792651,James H Miller Jr,Quinton,AL,35130,4250 Porter Road,Jefferson,33.63,-87.06,221112,D,Power Plants,"19,902,660.43","19,746,633.00","57,073.25","98,954.18",,,,,,,,,,,"19,902,660.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007227,110043792651,James H Miller Jr,Quinton,AL,35130,4250 Porter Road,Jefferson,33.63,-87.06,221112,D,Power Plants,"19,733,139.38","19,578,440.60","56,586.75","98,112.03",,,,,,,,,,,"19,733,139.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007227,110043792651,James H Miller Jr,Quinton,AL,35130,4250 Porter Road,Jefferson,33.63,-87.06,221112,D,Power Plants,"19,247,050.05","19,096,161.50","55,193.00","95,695.55",,,,,,,,,,,"19,247,050.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
